,City,Latitude,Longtitude,Temp,Cloudiness,Wind Speed,Humidity
0,kapaa,22.0752,-159.319,17.12,75,2.57,77
1,bela,25.9333,81.9833,15.62,76,1.45,72
2,chokurdakh,70.6333,147.9167,-25.01,98,6.21,88
3,richards bay,-28.783,32.0377,23.96,30,0.9,93
4,san antonio,29.4241,-98.4936,11.38,90,5.66,40
5,cabo san lucas,22.8909,-109.9124,25.58,1,2.57,41
6,tiksi,71.6872,128.8694,-28.27,100,6.44,88
7,ajtos,42.7,27.25,7.0,4,5.14,100
8,cleethorpes,53.5605,-0.0323,6.68,75,4.12,100
9,vila velha,-20.3297,-40.2925,30.38,20,7.72,70
10,provideniya,64.3833,-173.3,-14.74,100,8.87,90
11,avarua,-21.2078,-159.775,24.0,78,1.03,94
12,beloha,-25.1667,45.05,26.53,86,2.1,82
13,punta arenas,-53.15,-70.9167,13.94,0,11.83,47
14,bethel,41.3712,-73.414,3.02,90,4.12,87
15,new norfolk,-42.7826,147.0587,16.51,100,1.81,92
16,dunedin,-45.8742,170.5036,11.92,86,1.79,81
17,santa cruz cabralia,-16.2781,-39.0247,30.0,40,7.2,58
18,hobyo,5.3505,48.5268,24.6,0,6.73,80
19,cape town,-33.9258,18.4232,21.86,20,10.29,73
20,visegrad,43.7847,19.2992,11.0,0,3.6,54
21,vaini,-21.2,-175.2,25.0,40,1.03,100
22,mount gambier,-37.8333,140.7667,13.0,75,4.12,94
23,hermanus,-34.4187,19.2345,23.33,1,0.89,74
24,roald,62.5833,6.1333,-5.09,0,5.66,46
25,college,64.8569,-147.8028,-31.69,1,2.06,68
26,puerto ayora,-0.7393,-90.3518,27.9,75,6.69,66
27,saint george,37.1041,-113.5841,6.1,0,0.83,45
28,atuona,-9.8,-139.0333,26.23,55,7.82,81
29,saint-philippe,-21.3585,55.7679,24.93,0,3.6,65
30,bluff,-46.6,168.3333,11.37,83,2.13,88
31,nikolskoye,59.7035,30.7861,-14.35,40,5.0,85
32,leningradskiy,69.3833,178.4167,-24.37,100,3.92,87
33,tuktoyaktuk,69.4541,-133.0374,-34.0,40,4.63,75
34,mataura,-46.1927,168.8643,8.27,81,0.75,95
35,esperance,-33.8667,121.9,15.0,90,2.06,94
36,honiara,-9.4333,159.95,25.23,51,1.35,81
37,kutum,14.2,24.6667,14.72,0,5.85,32
38,abu samrah,35.3029,37.1841,10.85,25,1.7,82
39,kemijarvi,66.7131,27.4306,-12.15,9,2.68,95
40,busselton,-33.65,115.3333,15.0,96,1.79,66
41,mehriz,31.5917,54.4318,15.0,0,2.06,17
42,yellowknife,62.456,-114.3525,-38.02,1,2.57,67
43,mezen,65.8522,44.24,-23.08,76,4.71,87
44,saskylakh,71.9167,114.0833,-32.0,100,2.78,85
45,port lincoln,-34.7333,135.8667,17.49,99,9.62,75
46,lata,40.1629,-8.3327,11.18,100,1.55,88
47,rawson,-43.3002,-65.1023,23.79,0,12.94,53
48,los llanos de aridane,28.6585,-17.9182,14.75,20,8.75,55
49,jamestown,42.097,-79.2353,-2.0,90,11.32,64
50,faya,18.3851,42.4509,14.5,0,2.57,72
51,digha,21.6833,87.55,19.81,0,4.0,64
52,qaanaaq,77.484,-69.3632,-23.79,46,2.98,73
53,kabanjahe,3.1001,98.4908,25.0,40,1.03,100
54,mujiayingzi,42.1167,118.7833,-6.18,91,3.11,92
55,thompson,55.7435,-97.8558,-26.0,75,6.69,70
56,batticaloa,7.7102,81.6924,24.89,86,3.51,84
57,bilibino,68.0546,166.4372,-28.89,6,1.79,80
58,bambanglipuro,-7.95,110.2833,24.87,92,1.61,87
59,jalu,29.0331,21.5482,15.43,0,3.11,49
60,albany,42.6001,-73.9662,4.12,96,1.79,56
61,wainwright,52.839,-110.8572,-24.69,99,4.63,77
62,sorland,67.667,12.6934,3.0,40,7.2,75
63,hobart,-42.8794,147.3294,17.43,90,2.06,88
64,ushuaia,-54.8,-68.3,9.0,75,14.4,66
65,boyolangu,-8.1181,111.8935,23.89,97,1.77,91
66,murray bridge,-35.1167,139.2667,14.27,82,3.58,91
67,mersing,2.4312,103.8405,26.0,72,4.63,89
68,tasiilaq,65.6145,-37.6368,-5.0,20,1.03,58
69,mahebourg,-20.4081,57.7,27.0,40,3.6,78
70,sumbe,-11.2061,13.8437,25.51,88,2.91,78
71,mar del plata,-38.0023,-57.5575,23.0,0,4.63,53
72,kaitangata,-46.2817,169.8464,10.56,97,1.34,83
73,victoria,22.2855,114.1577,18.11,0,2.59,79
74,rikitea,-23.1203,-134.9692,25.81,32,4.98,70
75,sokolskoye,57.1412,43.1589,-15.83,99,5.44,93
76,severo-kurilsk,50.6789,156.125,-11.25,87,3.64,85
77,atambua,-9.1061,124.8925,23.99,100,2.01,89
78,airai,-8.9266,125.4092,16.53,100,1.4,100
79,tessalit,20.1986,1.0114,26.79,2,4.26,13
80,georgetown,5.4112,100.3354,27.69,20,1.14,83
81,okhotsk,59.3833,143.3,-18.36,98,4.13,86
82,burg,51.8333,14.15,0.56,100,2.24,85
83,hilo,19.7297,-155.09,16.18,75,3.6,67
84,bahia honda,22.9036,-83.1592,23.79,38,2.57,68
85,kizukuri,40.8061,140.3861,1.97,86,1.79,78
86,arraial do cabo,-22.9661,-42.0278,26.82,75,5.66,78
87,saint-joseph,-21.3667,55.6167,27.02,0,3.6,65
88,sojat,25.9167,73.6667,14.39,0,2.47,36
89,pochutla,15.7432,-96.4661,26.83,75,4.12,74
90,bredasdorp,-34.5322,20.0403,22.0,1,4.63,73
91,leh,34.1667,77.5833,-14.82,2,0.95,60
92,butaritari,3.0707,172.7902,27.0,100,5.48,82
93,port blair,11.6667,92.75,25.92,9,3.6,79
94,hithadhoo,-0.6,73.0833,28.22,100,6.18,77
95,fort nelson,58.8053,-122.7002,-25.0,90,4.12,70
96,castro,-24.7911,-50.0119,23.89,0,3.36,52
97,husavik,66.0449,-17.3389,-4.0,0,1.54,74
98,longyearbyen,78.2186,15.6401,-7.0,75,2.06,86
99,fairbanks,64.8378,-147.7164,-31.86,1,1.54,75
100,coquimbo,-29.9533,-71.3436,19.0,75,4.63,68
101,teknaf,20.8624,92.3058,16.73,0,1.96,69
102,clermont,49.5,2.4167,8.65,75,2.06,81
103,cayenne,4.9333,-52.3333,28.0,75,7.2,78
104,port elizabeth,-33.918,25.5701,22.0,75,5.66,83
105,lago da pedra,-4.3333,-45.1667,30.86,15,2.14,63
106,norman wells,65.282,-126.8329,-33.0,75,7.2,68
107,soyo,-6.1349,12.3689,27.19,100,3.74,80
108,greensburg,40.3015,-79.5389,0.8,90,7.2,64
